_id,mmsi,shipCallSigns,shipName,shipSize,shipType,shipWidth
64bdf38b031fca34f8ea14de,413235830,BOHA8,ZHONG SHENG DA 98,97,Not available / no ship,20
64bdf3ae031fca34f8ea17a2,413556660,BOGR2,WEI YE 98,149,"Cargo ship, General",21
64bdfa22031fca34f8eaaa84,636021831,5LFW9,CUL MANILA,212,"Cargo ship, Category X",31
64bdfa6d031fca34f8eab1a6,412592390,BPFB2,QING FU RONG,156,"Cargo ship, General",23
64bdfd59031fca34f8eafa6f,413379840,BPOD6,DING HENG 3,96,"Tanker, Category Y",15
64be00ee031fca34f8eb55a2,414409000,BTJG5,JIN NING77,225,"Cargo ship, General",32
64be07de031fca34f8ec0c50,413531770,BCEL,HUA DONG 16,96,"Cargo ship, General",15
64be09e9031fca34f8ec4345,994131651,,BEI SHUI DAO 7,6,,6
64be0f08031fca34f8ecc961,477286700,VRRI9,PACIFIC LONGEVITY,362,"Cargo ship, General",65
64be18fb031fca34f8edd6b7,636019060,D5ST4,DELTA AIGAION,333,"Tanker, General",60
64be206f031fca34f8eea1e1,477325600,VRKP2,HC GLORY,225,"Cargo ship, General",32
64be2210031fca34f8eecc5f,994136878,,QINGZHOU LIU        ,0,,0
64be260c031fca34f8ef3d02,636014303,A8SV4,KM HONGKONG,229,"Cargo ship, General",32
64be2645031fca34f8ef4372,636016557,D5GS9,MOUNT DAMPIER,292,"Cargo ship, General",45
64be2912031fca34f8ef93ba,413344940,@@@@@@@,CHANG YUAN 008,109,"Cargo ship, General",26
64be2e7f031fca34f8f035f3,994131650,,BEI SHUI DAO 6A,6,,6
64be2f6f031fca34f8f04fc4,413445460,BKXZ5,XIN HENG SHUN 8,96,"Tanker, General",15
64be2fcf031fca34f8f05a59,351435000,3EER4,NAGAMOTO,128,"Cargo ship, General",20
64be2ff6031fca34f8f05ebd,351907000,3FXS,HL MERCURY,340,"Cargo ship, General",62
64be3479031fca34f8f0e2f8,352898743,3E2032,SHIZUKISAN,333,"Tanker, General",60
64be35d5031fca34f8f10be8,994131649,,BEI SHUI DAO 6,6,,6
64be38c7031fca34f8f1609f,413531460,@@@@@@@,E SHAN,80,"Other types of ship, General",24
64be3df1031fca34f8f1f3e4,413366920,@@@@@@@,ZHI   TAO   3,53,"Cargo ship, General",12
64be3e5b031fca34f8f1ff6a,413384240,@@@@@@@,HENG DA FU GUI 168,108,"Cargo ship, General",21
64be3f4a031fca34f8f21c42,413302080,BFAH6,RUI NING 6,189,"Cargo ship, General",32
64be43f1031fca34f8f2ab8a,477439400,VRQE7,NEW ENERGY,330,"Tanker, General",60
64be4623031fca34f8f2ea9e,413307350,BOUE6,HENG ZHOU 007,97,"Tanker, General",14
64be465b031fca34f8f2f000,994121857,,YUE DIAN 15,100,,100
64be4923031fca34f8f33e9d,994776001,,CPV1,0,,0
64be4b19031fca34f8f379df,994121873,,XU WEN FENG DIAN 13 ,4,,4
64be5264031fca34f8f4205b,413227860,BOEW4,WAN XIN YOU 8,119,"Tanker, General",17
64be53db031fca34f8f44ad6,413269590,BOOG2,HAI XUN 09,166,Law enforcement vessel,11
64be5502031fca34f8f46bdd,994776020,,CMDV2,0,,0
64be5639031fca34f8f48e11,414484000,BRWL,YUE DIAN 2,225,"Cargo ship, General",32
64be565a031fca34f8f491fe,994776019,,CMDV1,0,,0
64be57a5031fca34f8f4b6a2,413515060,BPF15,NANYU06,45,Port tender,11
64be5976031fca34f8f4eacf,538010361,V7A5940,MEGAN GLORY,250,"Tanker, General",44
64be5a1b031fca34f8f4fe31,994121877,,XU WEN FENG DIAN S7,12,,0
64be5d34031fca34f8f55b8d,994121855,,YUE DIAN 13,6,,6
64be5e31031fca34f8f57b2c,414401440,BJME,XIN YUN DE 17,103,"Tanker, General",15
64be5efc031fca34f8f593d1,414356000,BTJB4,MEI LAN HU,225,"Cargo ship, General",32
64be5f3c031fca34f8f59bd7,636022421,5LIS3,ES RIGHT,100,"Tanker, Category Y",18
64be5f6a031fca34f8f5a1a3,413367220,BHZR,CHANG RUN YOU 6,96,"Tanker, General",14
64be6048031fca34f8f5bce8,413207420,BREA,TONG  DA  HUA  8,128,"Tanker, General",17
64be609b031fca34f8f5c77b,994136682,,MEI HANG 839 WRECK  ,0,,0
64be6233031fca34f8f5f99b,412303390,BFAY4,HAIYANGSHIYOU262,60,"Other types of ship, General",40
64be639b031fca34f8f624f1,414428000,BTJI4,DONG FANG XIANG TONG,225,"Cargo ship, General",32
64be6685031fca34f8f67f23,994121851,,XIN LIAO 1,4,,4
64be66f9031fca34f8f68b9a,413315730,BOVR2,HENGTONGYUAN,135,"Cargo ship, General",21
64be69cd031fca34f8f6dccd,994131780,,QZ ZHONGSHUIDAO 1,2,,2
64be6cea031fca34f8f73575,413224530,0000000,HAIANTUO66,43,Tug,10
64be6d02031fca34f8f7388a,413319740,BOWO3,ZHONG CHUAN 189,161,"Tanker, General",23
64be7eea031fca34f8f91355,994131648,,BEI SHUI DAO 5,6,,6
64be8133031fca34f8f9514f,994121858,,YUE DIAN 18,100,,100
64be847e031fca34f8f9a9e9,418811615,11615,QKNGGLINYU11615TK,38,Not specified 6,6
64be84c1031fca34f8f9b13a,413099000,BOIG,TIAN LU HAI,289,"Cargo ship, General",45
64be8731031fca34f8f9f381,413315490,BOVP6,HAN QIANG XIANG RUI,100,"Cargo ship, General",19
64be88fa031fca34f8fa224f,412700810,BPKD9,LIAN DA 11,98,"Cargo ship, General",16
64be8958031fca34f8fa2b68,413593680,BUID,HUASHUN 298,140,"Tanker, General",21
64be8c42031fca34f8fa735d,413240190,BPHB6,HUA LONG 668,98,"Cargo ship, General",16
64be8ea5031fca34f8faaf1c,413399630,BPDR3,ZHONG CHUAN HAIGONG9,90,"Other types of ship, General",32
64be9054031fca34f8fad7dc,414592000,BOWI9,DING XIN 108,209,"Cargo ship, General",36
64be9856031fca34f8fb9bae,413335250,BOWY8,QING YANG HONG TONG,131,"Cargo ship, General",32
64be9b5c031fca34f8fbe5f2,413697410,BVGP8,HAI GONG 208,55,"Other types of ship, General",12
64bea50a031fca34f8fcb2f2,447305000,9KLA,AL SIDDEEQ,333,"Tanker, No additional information",60
64bec612031fca34f8ff67a6,372453000,3EWI8,HONG XIANG,225,"Cargo ship, General",32
64bed18d031fca34f80062ea,413456050,BLJC8,FAN AN 166,99,"Cargo ship, General",16
64bee18e031fca34f801ac38,413415520,,YANG JIANG 88,53,"Cargo ship, General",9
64bee520031fca34f801ec76,413444210,BHOW2,JI XIANG 7,104,"Tanker, General",15
64beeb05031fca34f80259d1,412705430,BVZI7,HONG  DA  SHENG,98,"Cargo ship, General",16
64bef0f8031fca34f802c939,859032780,BPIH9,SHENG FENG 17,122,"Cargo ship, General",18
64bf0f20031fca34f80531a0,477372500,VRSX6,DHT LOTUS,332,"Tanker, General",60
64bf13bf031fca34f8059226,412522170,@@@@@@@,ZHONGGUOYUZHENG46012,55,Not available / no ship,8
64bf291c031fca34f8078143,574000450,3WOF,ORIENTAL SEA,92,"Cargo ship, No additional information",15
64bf3254031fca34f80862e8,441025000,D7TX,YN GWANGYANG,109,"Tanker, General",18
64bf3ade031fca34f809272a,413399580,@@@@@@@,XIN HANG 688,38,Tug,11
64bf4424031fca34f809e792,413487820,@@@@@@@,HUI HAI LONG 338,104,"Cargo ship, No additional information",18
64bf45ea031fca34f80a0a7b,413557730,BOVK3,XIN SHENG FEN FA,159,"Cargo ship, General",23
64bf5014031fca34f80acd4e,413249410,BOLD2,XIN SHENG 98,115,"Cargo ship, General",16
64bf537f031fca34f80b1078,412501970,BMVJ,HANG SHENG LONG,97,"Cargo ship, General",16
